0,sanstext,...,,,,,,,
0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,BlackScreen,1,,,,,,,
0,sound,flash,,,,,,,
0,sansx,999,,,,,,,
0.2,BlackScreen,0,,,,,,,
0,SET,Loop,3,,,,,,
0,SUB,Loop,$Loop,1,,,,,
1,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,初始坐标x,640,,,,,,
0,rnd,初始坐标y,480,,,,,,
0,rnd,最终坐标x,640,,,,,,
0,rnd,最终坐标y,480,,,,,,
0,rnd,初始坐标x1,640,,,,,,
0,rnd,初始坐标y1,480,,,,,,
0,rnd,最终坐标x1,640,,,,,,
0,rnd,最终坐标y1,480,,,,,,
0,rnd,初始坐标x2,640,,,,,,
0,rnd,初始坐标y2,480,,,,,,
0,rnd,最终坐标x2,640,,,,,,
0,rnd,最终坐标y2,480,,,,,,
0,ANGLE,Ang,$最终坐标x,$最终坐标y,$HeartX,$HeartY,,,
0,ANGLE,Ang1,$最终坐标x1,$最终坐标y1,$HeartX,$HeartY,,,
0,ANGLE,Ang2,$最终坐标x2,$最终坐标y2,$HeartX,$HeartY,,,
0,gasterblaster,0,$初始坐标x,$初始坐标y,$最终坐标x,$最终坐标y,$Ang,0.4,0.2
0,gasterblaster,0,$初始坐标x1,$初始坐标y1,$最终坐标x1,$最终坐标y1,$Ang1,0.4,0.2
0,gasterblaster,0,$初始坐标x2,$初始坐标y2,$最终坐标x2,$最终坐标y2,$Ang2,0.4,0.2
0,JMPNZ,11,$Loop,,,,,,
1,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,初始坐标x,640,,,,,,
0,rnd,初始坐标y,480,,,,,,
0,rnd,最终坐标x,640,,,,,,
0,rnd,最终坐标y,480,,,,,,
0,rnd,初始坐标x1,640,,,,,,
0,rnd,初始坐标y1,480,,,,,,
0,rnd,最终坐标x1,640,,,,,,
0,rnd,最终坐标y1,480,,,,,,
0,rnd,初始坐标x2,640,,,,,,
0,rnd,初始坐标y2,480,,,,,,
0,rnd,最终坐标x2,640,,,,,,
0,rnd,最终坐标y2,480,,,,,,
0,rnd,初始坐标x3,640,,,,,,
0,rnd,初始坐标y3,480,,,,,,
0,rnd,最终坐标x3,640,,,,,,
0,rnd,最终坐标y3,480,,,,,,
0,ANGLE,Ang,$最终坐标x,$最终坐标y,$HeartX,$HeartY,,,
0,ANGLE,Ang1,$最终坐标x1,$最终坐标y1,$HeartX,$HeartY,,,
0,ANGLE,Ang2,$最终坐标x2,$最终坐标y2,$HeartX,$HeartY,,,
0,ANGLE,Ang3,$最终坐标x3,$最终坐标y3,$HeartX,$HeartY,,,
0,gasterblaster,0,$初始坐标x,$初始坐标y,$最终坐标x,$最终坐标y,$Ang,0.5,0.2
0,gasterblaster,0,$初始坐标x1,$初始坐标y1,$最终坐标x1,$最终坐标y1,$Ang1,0.5,0.2
0,gasterblaster,0,$初始坐标x2,$初始坐标y2,$最终坐标x2,$最终坐标y2,$Ang2,0.5,0.2
0,gasterblaster,0,$初始坐标x3,$初始坐标y3,$最终坐标x3,$最终坐标y3,$Ang3,0.5,0.2
1,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,初始坐标x,640,,,,,,
0,rnd,初始坐标y,480,,,,,,
0,rnd,最终坐标x,640,,,,,,
0,rnd,最终坐标y,480,,,,,,
0,rnd,初始坐标x1,640,,,,,,
0,rnd,初始坐标y1,480,,,,,,
0,rnd,最终坐标x1,640,,,,,,
0,rnd,最终坐标y1,480,,,,,,
0,rnd,初始坐标x2,640,,,,,,
0,rnd,初始坐标y2,480,,,,,,
0,rnd,最终坐标x2,640,,,,,,
0,rnd,最终坐标y2,480,,,,,,
0,rnd,初始坐标x3,640,,,,,,
0,rnd,初始坐标y3,480,,,,,,
0,rnd,最终坐标x3,640,,,,,,
0,rnd,最终坐标y3,480,,,,,,
0,rnd,初始坐标x4,640,,,,,,
0,rnd,初始坐标y4,480,,,,,,
0,rnd,最终坐标x4,640,,,,,,
0,rnd,最终坐标y4,480,,,,,,
0,ANGLE,Ang,$最终坐标x,$最终坐标y,$HeartX,$HeartY,,,
0,ANGLE,Ang1,$最终坐标x1,$最终坐标y1,$HeartX,$HeartY,,,
0,ANGLE,Ang2,$最终坐标x2,$最终坐标y2,$HeartX,$HeartY,,,
0,ANGLE,Ang3,$最终坐标x3,$最终坐标y3,$HeartX,$HeartY,,,
0,ANGLE,Ang4,$最终坐标x4,$最终坐标y4,$HeartX,$HeartY,,,
0,gasterblaster,0,$初始坐标x,$初始坐标y,$最终坐标x,$最终坐标y,$Ang,0.6,0.2
0,gasterblaster,0,$初始坐标x1,$初始坐标y1,$最终坐标x1,$最终坐标y1,$Ang1,0.6,0.2
0,gasterblaster,0,$初始坐标x2,$初始坐标y2,$最终坐标x2,$最终坐标y2,$Ang2,0.6,0.2
0,gasterblaster,0,$初始坐标x3,$初始坐标y3,$最终坐标x3,$最终坐标y3,$Ang3,0.6,0.2
0,gasterblaster,0,$初始坐标x4,$初始坐标y4,$最终坐标x4,$最终坐标y4,$Ang4,0.6,0.2
1,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,初始坐标x,640,,,,,,
0,rnd,初始坐标y,480,,,,,,
0,rnd,最终坐标x,640,,,,,,
0,rnd,最终坐标y,480,,,,,,
0,rnd,初始坐标x1,640,,,,,,
0,rnd,初始坐标y1,480,,,,,,
0,rnd,最终坐标x1,640,,,,,,
0,rnd,最终坐标y1,480,,,,,,
0,rnd,初始坐标x2,640,,,,,,
0,rnd,初始坐标y2,480,,,,,,
0,rnd,最终坐标x2,640,,,,,,
0,rnd,最终坐标y2,480,,,,,,
0,rnd,初始坐标x3,640,,,,,,
0,rnd,初始坐标y3,480,,,,,,
0,rnd,最终坐标x3,640,,,,,,
0,rnd,最终坐标y3,480,,,,,,
0,rnd,初始坐标x4,640,,,,,,
0,rnd,初始坐标y4,480,,,,,,
0,rnd,最终坐标x4,640,,,,,,
0,rnd,最终坐标y4,480,,,,,,
0,rnd,初始坐标x5,640,,,,,,
0,rnd,初始坐标y5,480,,,,,,
0,rnd,最终坐标x5,640,,,,,,
0,rnd,最终坐标y5,480,,,,,,
0,ANGLE,Ang,$最终坐标x,$最终坐标y,$HeartX,$HeartY,,,
0,ANGLE,Ang1,$最终坐标x1,$最终坐标y1,$HeartX,$HeartY,,,
0,ANGLE,Ang2,$最终坐标x2,$最终坐标y2,$HeartX,$HeartY,,,
0,ANGLE,Ang3,$最终坐标x3,$最终坐标y3,$HeartX,$HeartY,,,
0,ANGLE,Ang4,$最终坐标x4,$最终坐标y4,$HeartX,$HeartY,,,
0,ANGLE,Ang5,$最终坐标x5,$最终坐标y5,$HeartX,$HeartY,,,
0,gasterblaster,0,$初始坐标x,$初始坐标y,$最终坐标x,$最终坐标y,$Ang,0.7,0.2
0,gasterblaster,0,$初始坐标x1,$初始坐标y1,$最终坐标x1,$最终坐标y1,$Ang1,0.7,0.2
0,gasterblaster,0,$初始坐标x2,$初始坐标y2,$最终坐标x2,$最终坐标y2,$Ang2,0.7,0.2
0,gasterblaster,0,$初始坐标x3,$初始坐标y3,$最终坐标x3,$最终坐标y3,$Ang3,0.7,0.2
0,gasterblaster,0,$初始坐标x4,$初始坐标y4,$最终坐标x4,$最终坐标y4,$Ang4,0.7,0.2
0,gasterblaster,0,$初始坐标x5,$初始坐标y5,$最终坐标x5,$最终坐标y5,$Ang5,0.7,0.2
1.3,rnd,jj,2,,,,,,
0,JMPE,132,$jj,1,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.2,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.2,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.2,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.2,0.26666
0.9,JMPABS,137,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.2,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.2,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.2,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.2,0.26666
0.9,,,,,,,,,
0,GasterBlaster,2,0,240,139,306,0,0.2,0.26666
0,GasterBlaster,2,640,240,499,306,180,0.2,0.26666
0,GasterBlaster,2,320,0,320,126,90,0.2,0.26666
0,GasterBlaster,2,320,480,320,491,270,0.2,0.26666



1.2,EndAttack,,,,,,,,





























































































999,EndAttack,,,,,,,,
