0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,340,356,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,sanstext,...,,,,,,,
0,BlackScreen,1,,,,,,,
0,sound,flash,,,,,,,
0,sansx,999,,,,,,,
0.2,BlackScreen,0,,,,,,,
0,BoneStab,0,10,0,99,,,,
0,BoneStab,1,10,0,99,,,,
0,BoneStab,2,10,0,99,,,,
0,BoneStab,3,10,0,99,,,,
0,BonevRepeat,323.5,226,25,3,80,35,55,
0,BonehRepeat,241,308.5,25,0,80,35,55,
0,SET,Loop,12,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,rnd,cnm,9,,,,,,
0,JMPE,29,$cnm,1,,,,,
0,JMPE,32,$cnm,2,,,,,
0,JMPE,35,$cnm,3,,,,,
0,JMPE,38,$cnm,4,,,,,
0,JMPE,41,$cnm,5,,,,,
0,JMPE,44,$cnm,6,,,,,
0,JMPE,47,$cnm,7,,,,,
0,GasterBlaster,1,0,0,189,276,0,0.4,0.1
1,JMPABS,49,,,,,,,

0,GasterBlaster,1,0,0,296,166,90,0.4,0.1
0.9,JMPABS,49,,,,,,,

0,GasterBlaster,1,640,480,449,336,180,0.4,0.1
0.9,JMPABS,49,,,,,,,

0,GasterBlaster,1,640,480,349,446,270,0.4,0.1
0.9,JMPABS,49,,,,,,,

0,GasterBlaster,1,640,0,458,276,180,0.4,0.1
0.9,JMPABS,49,,,,,,,

0,GasterBlaster,1,0,480,296,451,270,0.4,0.1
0.9,JMPABS,49,,,,,,,

0,GasterBlaster,1,0,480,198,336,0,0.4,0.1
0.9,JMPABS,49,,,,,,,

0,GasterBlaster,1,640,0,349,171,90,0.4,0.1
0.9,JMPABS,49,,,,,,,
0,JMPNZ,17,$Loop,,,,,,
0.4,EndAttack,,,,,,,,
